consensusTime,searchTime,onChainTime,seqId,roundId,comId
2.8775712s,1.3048665s,6.2408292s,10,4,1
2.4677231s,1.0170842s,703.8668ms,94,4,1
2.6303015s,1.3340898s,3.6195323s,58,4,1
2.3302183s,1.1492365s,3.9257408s,66,4,1
2.5858041s,1.0120014s,603.4388ms,86,4,1
2.8441128s,1.3790306s,3.4168823s,42,4,1
2.2892532s,1.0495837s,906.8175ms,102,4,1
2.4453871s,1.2351078s,3.8250886s,70,4,1
2.7157631s,1.0865593s,6.4411518s,14,4,1
2.6076118s,1.2540611s,603.0546ms,118,4,1
2.9134613s,1.4087625s,301.7805ms,106,4,1
2.4283739s,1.0917318s,6.7371732s,2,4,1
3.0717522s,1.319032s,3.2162237s,46,4,1
2.7129123s,1.4827231s,503.3114ms,114,4,1
2.1728468s,1.0202769s,4.1262648s,54,4,1
2.3319676s,1.1594678s,6.8447152s,26,4,1
2.53335s,1.221702s,6.6433328s,34,4,1
2.2243786s,1.0170842s,1.0055356s,90,4,1
2.4363165s,1.0565871s,6.7429211s,18,4,1
2.8292598s,1.3359915s,401.9722ms,98,4,1
2.5857232s,1.3545219s,3.7222264s,74,4,1
2.6848615s,1.3131402s,3.6230881s,62,4,1
2.4498258s,1.1564438s,6.7398032s,6,4,1
2.5544973s,1.2493352s,6.6386638s,38,4,1
2.5544973s,1.2730888s,6.6386638s,22,4,1
2.7586214s,1.4937782s,6.4370534s,30,4,1
2.4432538s,1.2254569s,803.0976ms,82,4,1
2.6988816s,1.4032278s,3.619222s,78,4,1
2.6070481s,1.1168889s,3.7237396s,50,4,1
2.4574107s,1.2454309s,803.855ms,110,4,1
3.0052352s,1.19888s,6.5351589s,3,4,2
2.8293912s,1.1583739s,502.8173ms,119,4,2
3.1338215s,1.3858408s,200.3984ms,115,4,2
2.9090252s,1.1289509s,6.640206s,23,4,2
2.3345243s,1.2365528s,1.0057794s,99,4,2
2.9413482s,1.3870697s,402.7382ms,103,4,2
2.9198003s,1.3557386s,6.6405666s,39,4,2
2.8465609s,1.3779712s,503.7198ms,87,4,2
2.5495597s,1.3581342s,3.9237264s,67,4,2
2.4501066s,1.3032317s,4.0256458s,75,4,2
2.8693848s,1.3064921s,3.6211825s,51,4,2
2.6400953s,1.3760564s,6.9411129s,31,4,2
2.2640698s,1.0844153s,4.2264975s,55,4,2
2.3667493s,1.1277585s,1.00603s,95,4,2
2.672001s,1.195389s,705.2622ms,83,4,2
2.8450115s,1.2569475s,6.7437981s,7,4,2
2.8881346s,1.3248389s,502.9179ms,111,4,2
2.2960147s,1.1727285s,4.2238641s,79,4,2
2.4989008s,1.1168808s,4.0230997s,43,4,2
2.6730866s,1.2209329s,6.9395548s,27,4,2
2.6838517s,1.3617604s,6.9409988s,35,4,2
2.9840271s,1.4032806s,6.6408234s,19,4,2
2.5864074s,1.3942842s,7.0384431s,15,4,2
2.3110951s,1.2080186s,4.2231145s,71,4,2
2.3093026s,1.0061213s,1.104808s,91,4,2
2.7100234s,1.3133483s,704.0872ms,107,4,2
3.0906409s,1.4993624s,6.5398171s,11,4,2
3.1209055s,1.3294845s,3.4189116s,63,4,2
2.7251645s,1.0801564s,3.8206405s,59,4,2
2.6208931s,1.0836256s,3.9249119s,47,4,2
3.1128056s,1.2541845s,3.9222145s,72,4,3
2.8684045s,1.4595554s,7.1410569s,16,4,3
3.1128056s,1.4477397s,3.9222145s,56,4,3
2.9129343s,1.1405466s,4.1228768s,52,4,3
2.9744413s,1.1577325s,7.04081s,4,4,3
2.6217288s,1.4315997s,4.4292854s,64,4,3
2.4808671s,1.2289508s,7.5472066s,32,4,3
3.1409683s,1.4167714s,804.9147ms,108,4,3
2.6416024s,1.2463201s,1.3082956s,84,4,3
2.8457572s,1.2915171s,1.1057667s,116,4,3
2.8426528s,1.1041669s,4.2216767s,44,4,3
2.6009506s,1.37117s,7.4378202s,24,4,3
2.7921457s,1.4854109s,7.2466251s,12,4,3
2.3942949s,1.0460917s,7.6444759s,28,4,3
2.6536081s,1.2959115s,4.4273089s,68,4,3
2.814051s,1.3061552s,7.2439212s,8,4,3
2.4158755s,1.2538211s,7.6505244s,40,4,3
2.4579709s,1.1814942s,4.6339877s,60,4,3
2.7711679s,1.3665959s,1.209305s,100,4,3
2.1732976s,1.0968412s,1.8105112s,120,4,3
2.4270947s,1.1901592s,7.6468598s,20,4,3
2.9318735s,1.4114526s,7.142081s,36,4,3
2.8865503s,1.4996322s,1.1073521s,88,4,3
2.3815581s,1.0985453s,4.7271701s,48,4,3
2.6788989s,1.0756557s,4.4298293s,76,4,3
2.1823233s,1.0972321s,4.928503s,80,4,3
2.4923375s,1.0664314s,1.5099084s,112,4,3
2.6945417s,1.4572542s,1.3090906s,104,4,3
2.4037413s,1.2499539s,1.6096451s,96,4,3
2.7054014s,1.3531157s,1.307985s,92,4,3
2.8238945s,1.1479288s,7.4469503s,25,4,0
2.1571638s,1.0642194s,4.9311484s,77,4,0
3.0370938s,1.494445s,7.246621s,37,4,0
2.9411392s,1.389583s,7.3433426s,29,4,0
2.6729374s,1.4476538s,4.424933s,57,4,0
2.5464713s,1.0909862s,7.7468017s,21,4,0
2.8725353s,1.2715151s,4.2253351s,49,4,0
3.0478941s,1.4466536s,7.2453789s,33,4,0
2.9017343s,1.4745489s,1.0048661s,101,4,0
2.8055344s,1.2077772s,1.1064174s,117,4,0
2.8080027s,1.0770471s,1.1071402s,85,4,0
2.788888s,1.2688708s,4.3256142s,61,4,0
3.1942074s,1.4112536s,3.9259424s,69,4,0
2.9227136s,1.228534s,1.0053303s,81,4,0
2.5213547s,1.3251209s,1.4066892s,97,4,0
2.4789587s,1.3096005s,7.8467779s,1,4,0
2.5864074s,1.4767033s,7.7415522s,17,4,0
2.6860083s,1.1594678s,7.6419513s,13,4,0
2.9341971s,1.1971748s,1.0057437s,109,4,0
2.6097582s,1.2900714s,4.52439s,53,4,0
2.9139288s,1.1661273s,4.2273602s,45,4,0
2.8199731s,1.4046129s,4.3239239s,41,4,0
2.5161314s,1.3644986s,4.6277656s,65,4,0
3.1954026s,1.4972779s,7.143897s,5,4,0
2.8017681s,1.4972779s,7.5436041s,9,4,0
2.5470635s,1.0863449s,1.4086987s,93,4,0
2.8300608s,1.1891081s,4.3221718s,73,4,0
2.7528743s,1.338651s,1.2081126s,89,4,0
2.5525592s,1.3784813s,1.4084277s,105,4,0
2.8620122s,1.4231756s,1.1066892s,113,4,0
2.8792859s,1.3327297s,6.8426864s,180,8,3
2.5774117s,1.175912s,7.1445606s,196,8,3
3.0686715s,1.3465595s,704.3634ms,268,8,3
2.573901s,1.0323043s,10.1611952s,136,8,3
2.3472044s,1.0271396s,4.4245107s,236,8,3
2.7019061s,1.1301601s,7.0381059s,172,8,3
2.9002493s,1.4599323s,6.8397627s,168,8,3
2.5925957s,1.4693149s,10.1584808s,132,8,3
2.8628454s,1.4191061s,3.9238125s,204,8,3
2.8063886s,1.3182723s,6.9437445s,184,8,3
2.3916089s,1.1476837s,1.4078872s,280,8,3
2.1995421s,1.1357206s,10.5671172s,144,8,3
3.0073723s,1.3745154s,9.7588886s,140,8,3
2.474467s,1.3254786s,4.3233041s,228,8,3
2.3686773s,1.1867374s,4.4290938s,240,8,3
2.8032028s,1.3407328s,1.0054898s,264,8,3
2.8272754s,1.1806785s,6.9402129s,192,8,3
2.4133981s,1.1133434s,10.3618609s,160,8,3
2.5076421s,1.3407328s,1.3088683s,276,8,3
2.990514s,1.3296607s,3.8223552s,232,8,3
2.990514s,1.353018s,3.8226874s,224,8,3
2.4172068s,1.0378286s,1.4085065s,272,8,3
2.8241511s,1.0215044s,1.0048519s,244,8,3
2.7285999s,1.2878258s,1.1065s,260,8,3
2.6278827s,1.3651055s,1.2072172s,252,8,3
2.8107669s,1.3595207s,4.024803s,212,8,3
2.2547046s,1.1254624s,7.5461977s,164,8,3
2.6588857s,1.3707774s,7.1420166s,188,8,3
2.514898s,1.1216493s,4.325428s,208,8,3
2.9638736s,1.3805483s,6.840326s,200,8,3
2.0500633s,1.0136534s,10.7615086s,148,8,3
2.715775s,1.3466024s,4.124551s,216,8,3
2.544196s,1.206232s,1.3069946s,248,8,3
2.643721s,1.1154668s,1.2074696s,256,8,3
2.6558197s,1.3990514s,10.1607952s,124,8,3
2.6558197s,1.3339184s,10.1620735s,128,8,3
2.8310966s,1.3647084s,4.0213367s,220,8,3
2.4742157s,1.1740908s,7.3416928s,176,8,3
2.2642701s,1.1832135s,10.5597397s,152,8,3
2.3634641s,1.2253268s,10.4605457s,156,8,3
2.9237387s,1.3350506s,1.1061346s,258,8,1
3.1255268s,1.2916772s,907.2243ms,274,8,1
2.456181s,1.0999181s,4.5270386s,238,8,1
2.2246489s,1.129693s,1.8102501s,262,8,1
2.7619867s,1.2878078s,4.2233808s,234,8,1
2.6606199s,1.0458169s,10.5653961s,126,8,1
2.5299427s,1.1055604s,1.5085054s,242,8,1
2.7352675s,1.2924239s,1.3086244s,266,8,1
2.8671787s,1.2749572s,4.1271817s,206,8,1
2.9671166s,1.4573768s,10.2643432s,138,8,1
2.1681542s,1.0156488s,4.8286203s,218,8,1
2.371518s,1.2507115s,10.8623559s,146,8,1
2.6681281s,1.4027444s,4.3286464s,230,8,1
2.6757725s,1.0298058s,10.564267s,150,8,1
2.782702s,1.4297315s,4.2229519s,210,8,1
2.8462498s,1.2680404s,1.2089356s,270,8,1
2.3818244s,1.1688818s,4.6267581s,226,8,1
2.6337694s,1.0524415s,7.6447959s,178,8,1
2.8370037s,1.4564604s,7.4447658s,194,8,1
2.6385192s,1.2216974s,7.6465734s,198,8,1
2.6926406s,1.344927s,10.5612703s,154,8,1
2.9063236s,1.2365599s,10.3651326s,158,8,1
2.9594907s,1.2135803s,7.3448489s,174,8,1
2.5596152s,1.3398566s,7.7463788s,186,8,1
3.2699828s,1.4952871s,7.0393151s,182,8,1
2.1786394s,1.1043252s,1.9117604s,278,8,1
2.9272469s,1.3236825s,10.3613053s,130,8,1
2.581103s,1.3291193s,7.7467918s,162,8,1
2.4322531s,1.2984653s,10.8627583s,142,8,1
2.603341s,1.3707398s,1.5092393s,246,8,1
2.8855463s,1.3389348s,7.4474853s,166,8,1
2.6857684s,1.2127105s,7.6472632s,190,8,1
2.6857684s,1.3096577s,7.6472632s,170,8,1
2.8409468s,1.2224076s,10.4632248s,122,8,1
2.3398964s,1.0317516s,10.9661565s,134,8,1
2.9504685s,1.2908077s,4.1251727s,214,8,1
2.7513775s,1.4321288s,4.3242637s,202,8,1
2.7518237s,1.1240603s,4.3238175s,222,8,1
2.619137s,1.1434607s,1.5098779s,254,8,1
2.9203233s,1.3796361s,1.2086916s,250,8,1
2.3691824s,1.0756448s,2.1097741s,267,8,2
3.0217258s,1.4123241s,10.6599667s,159,8,2
2.9817218s,1.4528107s,1.5081054s,275,8,2
2.5267473s,1.0446903s,11.1658159s,131,8,2
2.78287s,1.1825729s,1.709158s,279,8,2
2.3286141s,1.0821436s,11.3661499s,147,8,2
3.1663157s,1.3714572s,7.441924s,195,8,2
2.5161255s,1.0372469s,4.9257985s,239,8,2
2.6888388s,1.0194444s,1.8104879s,247,8,2
2.6784228s,1.3816286s,7.9464169s,187,8,2
2.8054851s,1.4698293s,1.7089529s,243,8,2
2.3370421s,1.1876142s,5.1276407s,207,8,2
2.8523189s,1.2308783s,10.8652039s,135,8,2
2.7873474s,1.325875s,7.8493358s,191,8,2
2.510964s,1.1214295s,2.0125694s,251,8,2
2.3583636s,1.2253369s,11.3679058s,123,8,2
2.2422032s,1.0404835s,5.2312262s,235,8,2
2.949896s,1.1496164s,4.5267062s,211,8,2
2.8629115s,1.4853606s,10.8665307s,143,8,2
2.5482783s,1.1866473s,4.9283239s,215,8,2
2.9939245s,1.4255457s,7.6489934s,199,8,2
2.793441s,1.0313055s,7.8494769s,167,8,2
2.8629115s,1.4306091s,10.8665307s,139,8,2
2.4521447s,1.2238548s,5.030482s,219,8,2
2.6735655s,1.1907183s,11.0655969s,127,8,2
2.8368691s,1.3535701s,1.7090745s,259,8,2
2.6352852s,1.2128662s,1.9106584s,255,8,2
2.8188984s,1.4181235s,7.8471319s,175,8,2
3.0865243s,1.3445183s,10.6689438s,155,8,2
2.6196549s,1.2103029s,8.0492889s,183,8,2
2.2187853s,1.08085s,8.4520678s,171,8,2
2.4223233s,1.3086916s,8.2485298s,163,8,2
2.7808267s,1.4346108s,4.7282403s,231,8,2
2.1908916s,1.119483s,11.5710154s,151,8,2
2.2843782s,1.0099552s,5.2280067s,203,8,2
2.4843614s,1.326965s,5.0280235s,223,8,2
2.8655585s,1.2193318s,1.7088218s,263,8,2
2.4001942s,1.0805752s,5.1240821s,227,8,2
2.5400018s,1.3738097s,8.1505902s,179,8,2
2.3691824s,1.2339646s,2.2102989s,271,8,2
2.4213599s,1.3037929s,9.1523293s,169,8,0
2.0728368s,1.0456377s,12.3747321s,153,8,0
2.2621402s,1.1049284s,6.3402787s,221,8,0
2.6142131s,1.3688033s,3.1178903s,265,8,0
2.8731568s,1.4164327s,5.7342806s,225,8,0
2.3324016s,1.1419384s,9.2545448s,193,8,0
2.3632653s,1.0759045s,302.5352ms,281,8,0
2.464341s,1.0341848s,201.4595ms,305,8,0
2.6684754s,1.4545518s,0s,285,8,0
2.329031s,1.1996647s,3.4185913s,253,8,0
2.6006502s,1.2895934s,11.8735176s,145,8,0
2.4954436s,1.4664294s,6.1344158s,229,8,0
2.2347171s,1.1737577s,3.5219855s,277,8,0
2.695285s,1.41256s,5.9345744s,201,8,0
2.5629054s,1.0869906s,9.0506384s,165,8,0
2.8642858s,1.2846486s,8.749258s,189,8,0
2.4006806s,1.2284154s,6.2357298s,217,8,0
2.5472495s,1.0718254s,3.2178508s,273,8,0
2.6108532s,1.3438872s,6.0323121s,213,8,0
2.2538501s,1.1671973s,3.5201037s,269,8,0
2.6560323s,1.3094444s,3.1202131s,241,8,0
2.8212063s,1.1909993s,5.8286589s,237,8,0
2.979509s,1.2083203s,8.6498652s,197,8,0
2.5161384s,1.1749162s,6.1337268s,205,8,0
2.5837047s,1.3192425s,9.0514131s,181,8,0
2.8848454s,1.4956198s,8.7502724s,185,8,0
2.5403201s,1.2657401s,11.9686774s,157,8,0
2.7118134s,1.2396546s,0s,317,8,0
2.7260105s,1.406792s,5.9343146s,209,8,0
2.7717905s,1.4261596s,3.0153778s,249,8,0
3.0724473s,1.4177821s,2.714721s,261,8,0
2.2658972s,1.0673738s,3.5212711s,245,8,0
2.7477345s,1.4883733s,11.771265s,133,8,0
2.7477345s,1.2468977s,11.771265s,141,8,0
2.7200067s,1.3311934s,0s,313,8,0
2.6958961s,1.3992614s,8.9524254s,173,8,0
2.8527367s,1.2740501s,11.6694645s,137,8,0
2.6530893s,1.4755977s,11.8691119s,125,8,0
2.6043428s,1.2142656s,9.0537806s,177,8,0
2.4883058s,1.2595479s,3.3205638s,257,8,0
2.5692277s,1.167838s,11.967633s,129,8,0
2.5692277s,1.1827638s,11.967633s,121,8,0
2.3528904s,1.0796959s,6.3379311s,233,8,0
2.8176883s,1.4047026s,8.8526422s,161,8,0
2.8738797s,1.3485416s,11.6703305s,149,8,0
2.7548708s,1.137308s,0s,297,8,0
2.7738818s,1.2062019s,0s,289,8,0
2.9652829s,1.3467262s,0s,293,8,0
2.9909752s,1.4471356s,0s,301,8,0
3.0393874s,1.1912815s,0s,309,9,0
2.9725001s,1.2194232s,3.7236277s,376,12,3
2.7266099s,1.3244235s,10.062743s,284,12,3
2.9215085s,1.2441667s,804.9829ms,428,12,3
2.629123s,1.4527563s,1.1047978s,420,12,3
2.7811441s,1.2194232s,3.9252768s,396,12,3
2.6313259s,1.2152492s,10.1683201s,288,12,3
2.8875093s,1.1351075s,3.8233213s,392,12,3
2.2339511s,1.0596577s,10.5701046s,316,12,3
2.7414591s,1.2864372s,1.0044392s,424,12,3
2.2447447s,1.0928009s,10.5668788s,300,12,3
2.4475382s,1.1351543s,10.371266s,308,12,3
2.798967s,1.0126038s,6.9408839s,360,12,3
3.053657s,1.3056059s,702.6866ms,416,12,3
2.4094457s,1.0012662s,4.3254562s,400,12,3
2.9043636s,1.4677833s,6.843566s,352,12,3
2.7568491s,1.2521013s,1.0075732s,432,12,3
2.7032634s,1.3629092s,7.0446662s,348,12,3
2.7627999s,1.4347459s,1.0044231s,436,12,3
2.8612001s,1.0169583s,906.0229ms,412,12,3
2.7679727s,1.2831403s,10.068535s,292,12,3
2.2660459s,1.0158554s,10.5704618s,320,12,3
2.6230966s,1.1254181s,4.1220987s,364,12,3
3.0110072s,1.2296969s,6.7451953s,356,12,3
2.6702492s,1.4286804s,1.10777s,408,12,3
3.0822179s,1.4404019s,9.7722508s,312,12,3
2.6800378s,1.3944831s,10.1744309s,296,12,3
2.8835768s,1.297676s,9.972254s,304,12,3
2.4246153s,1.2158116s,7.3489976s,328,12,3
2.6339393s,1.2864873s,4.1286664s,384,12,3
2.4350602s,1.0797544s,7.3421375s,336,12,3
2.3900635s,1.0868553s,1.4100523s,404,12,3
2.3439033s,1.1883901s,4.4287126s,372,12,3
2.6383874s,1.3135196s,7.1488456s,340,12,3
2.6383874s,1.1308534s,7.1488456s,324,12,3
2.4970584s,1.2245427s,1.3083334s,440,12,3
2.8556569s,1.0996319s,3.9279771s,380,12,3
2.3551654s,1.0636449s,4.4284686s,388,12,3
2.6491553s,1.2790552s,7.1454859s,344,12,3
2.4523661s,1.2654811s,4.3316781s,368,12,3
2.4460247s,1.1380744s,7.3490267s,332,12,3
2.4624417s,1.1461673s,1.6075371s,435,12,2
3.1028002s,1.4850188s,4.1254178s,391,12,2
2.5057778s,1.3270857s,10.6630044s,291,12,2
2.3995586s,1.0157031s,4.8314945s,379,12,2
2.7058886s,1.0685213s,4.5251645s,383,12,2
2.4577044s,1.1782351s,7.7430842s,335,12,2
2.5057778s,1.3927772s,10.6630044s,283,12,2
2.1697578s,1.1283222s,1.9101088s,407,12,2
2.8788782s,1.387192s,1.2082107s,403,12,2
3.0167491s,1.4900401s,4.2302254s,375,12,2
2.9697355s,1.3786775s,7.2490937s,331,12,2
2.4095248s,1.1867696s,10.777298s,307,12,2
2.7154627s,1.3807062s,10.4713601s,287,12,2
2.7673728s,1.0415375s,7.4514564s,339,12,2
2.4690694s,1.1834276s,7.7497598s,347,12,2
2.9265349s,1.2515143s,10.2645979s,295,12,2
2.5227576s,1.4400742s,10.6683752s,299,12,2
2.7890883s,1.4515174s,7.4471625s,327,12,2
2.8407862s,1.2167306s,10.3677201s,315,12,2
2.5480391s,1.3620355s,4.7314768s,395,12,2
3.1558865s,1.2756181s,4.1236294s,387,12,2
2.4435135s,1.1594474s,10.7737315s,303,12,2
2.8555283s,1.3841439s,4.4286574s,399,12,2
2.547428s,1.279122s,10.6750968s,319,12,2
2.8255469s,1.0877886s,1.3082425s,439,12,2
2.8659462s,1.3662824s,4.4274184s,371,12,2
2.5302369s,1.3025527s,1.6088263s,419,12,2
2.9676804s,1.360868s,10.2664199s,311,12,2
2.9171093s,1.2905468s,7.3493106s,343,12,2
2.7403932s,1.4190151s,1.4077459s,411,12,2
2.4248561s,1.305759s,7.8506119s,359,12,2
2.742896s,1.2537387s,1.40695s,415,12,2
2.724908s,1.459978s,7.55056s,355,12,2
2.3201733s,1.0575681s,7.9556352s,351,12,2
2.242862s,1.0130858s,1.9109065s,431,12,2
2.6845491s,1.2459977s,4.6275742s,367,12,2
3.085203s,1.3918298s,4.2269203s,363,12,2
2.7532988s,1.2605899s,1.4069272s,427,12,2
2.8420992s,1.0252291s,7.4437488s,323,12,2
2.7532988s,1.0157006s,1.4073516s,423,12,2
2.3948225s,1.1282688s,504.1678ms,474,12,1
2.8135501s,1.0820288s,8.8552083s,338,12,1
2.4069078s,1.2200043s,9.2657594s,342,12,1
2.3681264s,1.2993489s,6.3390398s,386,12,1
2.9122034s,1.4115203s,11.6756324s,302,12,1
2.4710343s,1.0883922s,6.2390971s,366,12,1
2.3138271s,1.1015966s,3.4196344s,426,12,1
2.614456s,1.4249616s,3.1190055s,434,12,1
2.5044194s,1.4876345s,402.5554ms,450,12,1
2.1182582s,1.0046674s,9.5622891s,322,12,1
2.6221707s,1.406031s,9.0583766s,354,12,1
2.9766699s,1.3679413s,5.7383764s,398,12,1
2.8264867s,1.2745554s,2.9189345s,406,12,1
2.416404s,1.2512458s,502.5305ms,446,12,1
2.587608s,1.2916506s,6.1385568s,370,12,1
2.5301881s,1.2601395s,3.2193068s,410,12,1
2.5220725s,1.3577242s,403.6663ms,466,12,1
2.438509s,1.2407721s,9.2580928s,346,12,1
2.6439531s,1.3357234s,9.0526487s,350,12,1
2.2361884s,1.0179743s,12.3726168s,298,12,1
2.5290167s,1.1958419s,12.0802219s,318,12,1
2.8027661s,1.3037309s,5.9381162s,382,12,1
2.7379838s,1.2612009s,201.1657ms,458,12,1
2.7447478s,1.138202s,11.87647s,294,12,1
2.7476479s,1.4968125s,3.0191956s,438,12,1
2.5483881s,1.4645392s,12.0777839s,282,12,1
2.550376s,1.2254415s,12.075796s,286,12,1
2.5433462s,1.2404058s,402.4323ms,462,12,1
2.4465656s,1.2341501s,12.1796064s,290,12,1
2.8462474s,1.488853s,100.1631ms,470,12,1
2.4518867s,1.0807099s,3.3203785s,402,12,1
2.5586342s,1.4361415s,3.2158915s,422,12,1
2.965501s,1.1951159s,8.7511956s,330,12,1
2.8597241s,1.1555478s,11.7691759s,306,12,1
2.9595218s,1.4057483s,0s,442,13,1
2.5240837s,1.3906018s,6.2451104s,390,13,1
2.5651496s,1.2744696s,402.7032ms,478,13,1
2.4675455s,1.1658s,12.1811683s,314,13,1
2.6303262s,1.0575035s,6.1406832s,378,13,1
2.8350787s,1.0417912s,5.9388407s,394,13,1
2.6799308s,1.3257558s,11.971693s,310,13,1
2.7828836s,1.2366289s,8.9565368s,326,13,1
2.1832203s,1.0394105s,9.5562001s,334,13,1
2.2732289s,1.1625288s,705.6822ms,454,13,1
2.2817546s,1.0183458s,3.5236432s,430,13,1
2.7493653s,1.2811609s,6.0429775s,374,13,1
2.9006483s,1.2420664s,8.8605195s,358,13,1
2.6521646s,1.3778146s,6.1435022s,362,13,1
2.4020725s,1.139087s,3.4223644s,418,13,1
2.199485s,1.1508739s,3.6249519s,414,13,1
2.1913515s,1.1062389s,4.9335365s,409,13,0
2.4663429s,1.1627972s,7.5470262s,393,13,0
2.8674132s,1.2721049s,7.1459559s,389,13,0
2.8261591s,1.3402832s,10.0674772s,325,13,0
2.4279304s,1.3440223s,10.472776s,333,13,0
2.4279304s,1.2222534s,10.472776s,353,13,0
2.4712264s,1.0028494s,7.5492128s,361,13,0
2.2259165s,1.0265013s,10.6768976s,321,13,0
2.681855s,1.2495717s,1.3085449s,477,13,0
2.4127605s,1.1490736s,4.7256436s,437,13,0
2.5871941s,1.231733s,7.4465845s,365,13,0
2.4165328s,1.2150955s,4.7287647s,405,13,0
2.8884811s,1.2168895s,7.1452975s,377,13,0
2.4835227s,1.4175509s,7.5502559s,385,13,0
2.9992872s,1.2318441s,1.0052141s,453,13,0
2.5955293s,1.4882286s,1.408972s,473,13,0
2.9210259s,1.4258272s,4.2271413s,425,13,0
2.7025252s,1.1518979s,1.3078727s,465,13,0
2.7601034s,1.2721006s,10.1648017s,329,13,0
2.4275926s,1.2366114s,4.7285642s,413,13,0
3.0098382s,1.4063788s,1.0054469s,461,13,0
2.5088849s,1.2788691s,1.5082998s,457,13,0
3.1436659s,1.413883s,4.0230961s,429,13,0
2.6169691s,1.0837906s,1.4091629s,469,13,0
2.619516s,1.1912517s,7.4416563s,373,13,0
2.5209819s,1.3438374s,1.5104745s,449,13,0
2.8806519s,1.4070854s,10.0636034s,357,13,0
2.7236288s,1.4903789s,1.3078276s,445,13,0
2.315939s,1.2148717s,7.7496701s,369,13,0
2.5801384s,1.301813s,10.3686778s,341,13,0
2.8242742s,1.2955734s,7.2454437s,397,13,0
2.3853379s,1.2721006s,10.5646472s,345,13,0
2.8618788s,1.3148238s,4.3239041s,417,13,0
3.0701604s,1.4445145s,4.1244032s,401,13,0
2.7447543s,1.4246327s,1.3081777s,441,13,0
2.4076484s,1.1645029s,10.5651436s,349,13,0
2.4767151s,1.2366114s,4.7295347s,433,13,0
2.5823515s,1.1362801s,4.6304643s,421,13,0
2.7186405s,1.3226879s,10.2699609s,337,13,0
2.2568142s,1.0180634s,7.85152s,381,13,0
2.6904462s,1.095537s,5.2271421s,539,16,2
2.6904462s,1.447406s,5.2271421s,555,16,2
2.5898093s,1.4032381s,11.265426s,479,16,2
2.273585s,1.0355568s,2.6141838s,599,16,2
2.7982892s,1.4078582s,5.1259238s,531,16,2
2.5816926s,1.2917776s,2.3143201s,587,16,2
2.3655344s,1.2302576s,8.5516016s,499,16,2
2.5906406s,1.4614113s,2.3137347s,595,16,2
2.5087765s,1.0396959s,11.3724671s,471,16,2
2.9810821s,1.2957545s,7.9461551s,483,16,2
2.9810821s,1.4456094s,7.9461551s,503,16,2
2.7078841s,1.2184033s,2.2130403s,567,16,2
2.12509s,1.0715871s,11.7706369s,463,16,2
2.5900343s,1.2132257s,8.3513564s,487,16,2
3.0340862s,1.4754756s,4.9277464s,527,16,2
2.5325249s,1.0505886s,5.4293077s,547,16,2
3.0340862s,1.4781695s,4.9277464s,551,16,2
2.5325249s,1.404178s,5.4293077s,543,16,2
2.3932217s,1.1324976s,8.549693s,507,16,2
2.7992895s,1.3270118s,8.1477535s,519,16,2
3.019974s,1.3013995s,1.9113357s,591,16,2
2.8223919s,1.3756192s,2.1118475s,575,16,2
2.3390686s,1.1365196s,11.5716196s,455,16,2
2.9565649s,1.282395s,10.9617159s,475,16,2
2.3496654s,1.0726094s,11.5686154s,443,16,2
2.817197s,1.1333617s,8.1469645s,515,16,2
2.3579604s,1.1330039s,5.6289267s,559,16,2
3.0424335s,1.4098339s,1.9107755s,583,16,2
2.644903s,1.1745483s,2.3128544s,579,16,2
2.3245577s,1.0662175s,8.648368s,491,16,2
3.2520631s,1.4856235s,1.707995s,563,16,2
2.4665978s,1.2691384s,5.5308957s,535,16,2
2.3704021s,1.0760539s,11.5693955s,459,16,2
2.369171s,1.0118047s,5.6329796s,523,16,2
2.5719539s,1.1132019s,11.3678437s,467,16,2
2.9380783s,1.4533099s,8.0471796s,511,16,2
2.3350873s,1.159498s,8.6501706s,495,16,2
2.9693392s,1.4034508s,2.0117866s,571,16,2
2.882196s,1.4556554s,11.070663s,447,16,2
2.1791415s,1.0726094s,11.7737175s,451,16,2
2.1124064s,1.0307741s,2.4119679s,580,16,3
2.5259347s,1.1720215s,8.5503743s,500,16,3
3.2403387s,1.3990257s,4.5249649s,548,16,3
2.8436209s,1.3717549s,11.4671143s,476,16,3
3.0161493s,1.3545283s,1.5088156s,568,16,3
2.5259347s,1.2876372s,8.5509649s,496,16,3
2.54362s,1.1953018s,11.7688056s,480,16,3
2.5207234s,1.0735138s,2.0128376s,572,16,3
2.4539785s,1.305071s,11.871714s,448,16,3
2.2501453s,1.2065176s,5.5305512s,536,16,3
2.5598832s,1.2078756s,11.7674065s,452,16,3
2.228254s,1.0555408s,2.3126748s,592,16,3
2.6366604s,1.4094438s,1.9101919s,576,16,3
2.1564558s,1.1080874s,5.6338353s,556,16,3
2.6548863s,1.4177715s,8.44888s,520,16,3
2.9440841s,1.3657553s,1.6077475s,600,16,3
2.1550402s,1.0530883s,8.9558357s,492,16,3
3.1866665s,1.4720412s,11.1586356s,464,16,3
2.4665692s,1.3299782s,5.3327107s,540,16,3
2.7809573s,1.1787575s,5.024579s,552,16,3
2.3883175s,1.1132007s,11.9680958s,468,16,3
2.4959815s,1.1460685s,11.8708628s,456,16,3
2.4669772s,1.2029294s,2.1135062s,564,16,3
2.6043253s,1.1139687s,5.2296016s,528,16,3
